Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,E-mail 2 - Type,E-mail 2 - Value
Alister Sharrem,Alister,,Sharrem,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alister@selectiva.com,,
Allegra Bynert,Allegra,,Bynert,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Allegra@selectiva.com,,
Allen Moyers,Allen,,Moyers,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Allen@selectiva.com,,
Allianora Dearle,Allianora,,Dearle,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Allianora@selectiva.com,,
Allianora Demanche,Allianora,,Demanche,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Allianora@selectiva.com,,
Allie Bruck,Allie,,Bruck,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllieBruck@selectiva.com,,
Allis McIlheran,Allis,,McIlheran,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllisMcIlheran@selectiva.com,,
Allison Skim,Allison,,Skim,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllisonSkim@selectiva.com,,
Allistir Zavattari,Allistir,,Zavattari,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllistirZavattari@selectiva.com,,
Allsun Rivel,Allsun,,Rivel,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllsunRivel@selectiva.com,,
Allx Flucker,Allx,,Flucker,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllxFlucker@selectiva.com,,
Allx Skirvin,Allx,,Skirvin,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AllxSkirvin@selectiva.com,,
Allys Janz,Allys,,Janz,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Allys@selectiva.com,,
Aloise Novak,Aloise,,Novak,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Aloise@selectiva.com,,
Alonso George,Alonso,,George,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlonsoGeorge@selectiva.com,,
Aluin Klishin,Aluin,,Klishin,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Aluin@selectiva.com,,
Alva Martin,Alva,,Martin,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alva@selectiva.com,,
Alvis Webbe,Alvis,,Webbe,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Alvis@selectiva.com,,
Alwin MacSporran,Alwin,,MacSporran,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlwinMacSporran@selectiva.com,,
Alyssa Fiddian,Alyssa,,Fiddian,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AlyssaFiddian@selectiva.com,,
Amalee Lethieulier,Amalee,,Lethieulier,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmaleeLethieulier@selectiva.com,,
Amaleta Taunton.,Amaleta,,Taunton.,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Amaleta@selectiva.com,,
Amalita Grzelczyk,Amalita,,Grzelczyk,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmalitaGrzelczyk@selectiva.com,,
Amalita McNally,Amalita,,McNally,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmalitaMcNally@selectiva.com,,
Amalle Forri,Amalle,,Forri,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Amalle@selectiva.com,,
Aman Daseda,Aman,,Daseda,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,aman@selectiva.com,,
Amata Berryman,Amata,,Berryman,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmataBerryman@selectiva.com,,
Amberly Trenholm,Amberly,,Trenholm,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmberlyTrenholm@selectiva.com,,
Amble Outhwaite,Amble,,Outhwaite,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Amble@selectiva.com,,
Amble Petrescu,Amble,,Petrescu,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmblePetrescu@selectiva.com,,
Ambros Albrooke,Ambros,,Albrooke,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Ambros@selectiva.com,,
Ambrose Measor,Ambrose,,Measor,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmbroseMeasor@selectiva.com,,
Amby Fookes,Amby,,Fookes,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmbyFookes@selectiva.com,,
Amelia Saulter,Amelia,,Saulter,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmeliaSaulter@selectiva.com,,
Amelie Martineau,Amelie,,Martineau,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmelieMartineau@selectiva.com,,
Amelina Olenchenko,Amelina,,Olenchenko,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmelinaOlenchenko@selectiva.com,,
Amelita Chaundy,Amelita,,Chaundy,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmelitaChaundy@selectiva.com,,
Amerigo Karolowski,Amerigo,,Karolowski,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Amerigo@selectiva.com,,
Amil Berrecloth,Amil,,Berrecloth,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Amil@selectiva.com,,
Amitie Ashley,Amitie,,Ashley,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Amitie@selectiva.com,,
Ammamaria Liell,Ammamaria,,Liell,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmmamariaLiell@selectiva.com,,
Amory Zealey,Amory,,Zealey,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmoryZealey@selectiva.com,,
Amye MacNalley,Amye,,MacNalley,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AmyeMacNalley@selectiva.com,,
Anabelle Trayes,Anabelle,,Trayes,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnabelleTrayes@selectiva.com,,
Analise Blythin,Analise,,Blythin,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnaliseBlythin@selectiva.com,,
Anastassia Jurca,Anastassia,,Jurca,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anastassia@selectiva.com,,
Anatola Murtimer,Anatola,,Murtimer,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anatola@selectiva.com,,
Andra Amner,Andra,,Amner,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Andra@selectiva.com,,
Andrea Sculpher,Andrea,,Sculpher,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Andrea@selectiva.com,,
Andreas Parramore,Andreas,,Parramore,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Andreas@selectiva.com,,
Andriana Reicharz,Andriana,,Reicharz,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AndrianaReicharz@selectiva.com,,
Andriette Bachanski,Andriette,,Bachanski,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AndrietteBachanski@selectiva.com,,
Andy McAreavey,Andy,,McAreavey,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AndyMcAreavey@selectiva.com,,
Anestassia Petricek,Anestassia,,Petricek,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anestassia@selectiva.com,,
Anet Brun,Anet,,Brun,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnetBrun@selectiva.com,,
Angeli Jack,Angeli,,Jack,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Angeli@selectiva.com,,
Angie Vedyashkin,Angie,,Vedyashkin,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Angie@selectiva.com,,
Anita Pinnell,Anita,,Pinnell,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anita@selectiva.com,,
Anjanette Dunlea,Anjanette,,Dunlea,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnjanetteDunlea@selectiva.com,,
Anna-diana Melior,Anna-diana,,Melior,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anna-dianaMelior@selectiva.com,,
Annabelle Basill,Annabelle,,Basill,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnabelleBasill@selectiva.com,,
Annadiane Pancost,Annadiane,,Pancost,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnadianePancost@selectiva.com,,
Annalee Fischer,Annalee,,Fischer,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Annalee@selectiva.com,,
Annamaria Banner,Annamaria,,Banner,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnamariaBanner@selectiva.com,,
Anne Bearne,Anne,,Bearne,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anne@selectiva.com,,
Anne-corinne Aylesbury,Anne-corinne,,Aylesbury,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anne-corinneAylesbury@selectiva.com,,
Anneliese Fiddler,Anneliese,,Fiddler,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnelieseFiddler@selectiva.com,,
Annelise Gerding,Annelise,,Gerding,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnneliseGerding@selectiva.com,,
Annemarie Creane,Annemarie,,Creane,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Annemarie@selectiva.com,,
Annemarie Land,Annemarie,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnemarieLand@selectiva.com,,
Annissa Adamowitz,Annissa,,Adamowitz,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnissaAdamowitz@selectiva.com,,
Anny Canny,Anny,,Canny,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnnyCanny@selectiva.com,,
Anselma Bernhardsson,Anselma,,Bernhardsson,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnselmaBernhardsson@selectiva.com,,
Anshul Sharma,Anshul,,Sharma,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,* ,anshul.s@selectiva.com,,
Ansley Prynne,Ansley,,Prynne,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnsleyPrynne@selectiva.com,,
Anthe Blankau,Anthe,,Blankau,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AntheBlankau@selectiva.com,,
Anthea Duignan,Anthea,,Duignan,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Anthea@selectiva.com,,
Antin Diggar,Antin,,Diggar,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AntinDiggar@selectiva.com,,
Antin Tiery,Antin,,Tiery,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AntinTiery@selectiva.com,,
Antoine Laville,Antoine,,Laville,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AntoineLaville@selectiva.com,,
Antoinette Collinette,Antoinette,,Collinette,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Antoinette@selectiva.com,,
Antonie Egleton,Antonie,,Egleton,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AntonieEgleton@selectiva.com,,
Antonina Halson,Antonina,,Halson,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AntoninaHalson@selectiva.com,,
Antony Odgaard,Antony,,Odgaard,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Antony@selectiva.com,,
Any Martynov,Any,,Martynov,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AnyMartynov@selectiva.com,,
April Whitehall,April,,Whitehall,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,April@selectiva.com,,
Aprilette Atwood,Aprilette,,Atwood,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Aprilette@selectiva.com,,
Aprilette Millhouse,Aprilette,,Millhouse,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ApriletteMillhouse@selectiva.com,,
Ara Naish,Ara,,Naish,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AraNaish@selectiva.com,,
Arabel Koche,Arabel,,Koche,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArabelKoche@selectiva.com,,
Arabella Dodamead,Arabella,,Dodamead,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArabellaDodamead@selectiva.com,,
Arch Townend,Arch,,Townend,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArchTownend@selectiva.com,,
Archaimbaud Greenhalgh,Archaimbaud,,Greenhalgh,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Archaimbaud@selectiva.com,,
Archy Thynn,Archy,,Thynn,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArchyThynn@selectiva.com,,
Ardella Manders,Ardella,,Manders,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArdellaManders@selectiva.com,,
Ardene Cantor,Ardene,,Cantor,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,Ardene@selectiva.com,,
Ardith Deakins,Ardith,,Deakins,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArdithDeakins@selectiva.com,,
Arel Longhurst,Arel,,Longhurst,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArelLonghurst@selectiva.com,,
Ariela Wincer,Ariela,,Wincer,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArielaWincer@selectiva.com,,
Ariella McKeeman,Ariella,,McKeeman,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,AriellaMcKeeman@selectiva.com,,
Arielle Kemson,Arielle,,Kemson,,,,,,,,,,,,,,,,,,,,,,,,,Imported on 12/27 ::: * myContacts,* Other,ArielleKemson@selectiva.com,,
